date,CPI_YoY,CPI_lag1,EUR_CHF,oil_price
1999-06-01,0.5741093027079147,0.5757329220003493,0.0008999999999999009,0.2221388203026411
1999-07-01,0.7350355994285351,0.5741093027079147,-0.008000000000000007,0.002721525377880951
1999-08-01,0.9459968083746606,0.7350355994285351,0.009300000000000086,0.05984374580711371
1999-09-01,1.2174700795726912,0.9459968083746606,-0.0038000000000000256,0.19384396045302976
1999-10-01,1.2366095583721703,1.2174700795726912,0.0012999999999998568,0.031174941342192675
1999-11-01,1.3044526083761945,1.2366095583721703,-0.007599999999999829,0.11915872232252189
1999-12-01,1.6681894024643371,1.3044526083761945,0.01089999999999991,-0.04884998672631902
2000-01-01,1.585332796674899,1.6681894024643371,-0.0037000000000000366,0.15229772919294327
2000-02-01,1.6237324092732042,1.585332796674899,0.008499999999999952,0.05563943752977085
2000-03-01,1.4828946645933485,1.6237324092732042,-0.0027999999999999137,0.00369455071781033
2000-04-01,1.4023972782482683,1.4828946645933485,-0.0022999999999999687,0.11377670739375878
2000-05-01,1.580543914713051,1.4023972782482683,-0.03079999999999994,0.007737760859662934
2000-06-01,1.8390624762834265,1.580543914713051,-0.017300000000000093,-0.18914231498363598
2000-07-01,1.8887900584344752,1.8390624762834265,0.0033000000000000806,0.23070002793261546
2000-08-01,1.1247205041089448,1.8887900584344752,-0.009000000000000119,0.0271913033589537
2000-09-01,1.4399131878426008,1.1247205041089448,0.00039999999999995595,-0.03387917693609932
2000-10-01,1.3322234369764765,1.4399131878426008,-0.021199999999999886,0.0910278538386784
2000-11-01,1.9124519421019004,1.3322234369764765,-0.016699999999999937,0.11610886817892085
2000-12-01,1.4933555393636722,1.9124519421019004,0.008000000000000007,-0.06061036140749909
2001-01-01,1.2954879132075048,1.4933555393636722,-0.007800000000000029,0.054747758571997096
2001-02-01,0.7796757239476149,1.2954879132075048,0.015599999999999836,-0.28948265799040174
2001-03-01,0.9758776221602704,0.7796757239476149,0.006400000000000183,-0.03654382790484911
2001-04-01,1.1665342018120306,0.9758776221602704,0.00019999999999997797,0.09322042122216745
2001-05-01,1.765736156854092,1.1665342018120306,-0.007000000000000117,-0.10281113541218767
2001-06-01,1.5804498864965266,1.765736156854092,0.0050000000000001155,0.060496584690325594
2001-07-01,1.351523198837845,1.5804498864965266,-0.011200000000000099,0.12156016762908717
2001-08-01,1.0508747909506957,1.351523198837845,-0.009099999999999886,0.0008833858002255113
2001-09-01,0.6749930283483252,1.0508747909506957,0.0009999999999998899,-0.13619978592134485
2001-10-01,0.6302958466146702,0.6749930283483252,-0.022499999999999964,-0.004281305384512102
2001-11-01,0.286950253985152,0.6302958466146702,-0.012299999999999978,-0.027250747655188423
2001-12-01,0.3251126441811358,0.286950253985152,-0.013100000000000112,-0.22457006300078897
2002-01-01,0.5214890433703712,0.3251126441811358,0.007800000000000029,-0.07759355063382056
2002-02-01,0.6544284399458311,0.5214890433703712,-0.0004999999999999449,-0.005573380367389191
2002-03-01,0.5093879933556034,0.6544284399458311,0.0036000000000000476,0.048365856281965325
2002-04-01,1.0973731034443546,0.5093879933556034,-0.009400000000000075,0.06098059266911404
2002-05-01,0.647948164146861,1.0973731034443546,-0.0020000000000000018,0.1425211910409474
2002-06-01,0.3259575284563887,0.647948164146861,-0.009299999999999864,0.07001856602592715
2002-07-01,-0.0515449933534029,0.3259575284563887,0.014899999999999913,-0.056522363001787035
2002-08-01,0.4726305104704842,-0.0515449933534029,-0.009000000000000119,-0.08107025417558278
2002-09-01,0.4968906023308461,0.4726305104704842,0.0013000000000000789,0.02212136864828551
2002-10-01,1.2371197314969162,0.4968906023308461,0.0012000000000000899,0.050896953175388226
2002-11-01,0.9154999142747756,1.2371197314969162,-0.00019999999999997797,0.06092467103426635
2002-12-01,0.8909637151505834,0.9154999142747756,0.0023999999999999577,-0.031225051231919654
2003-01-01,0.8466394776995623,0.8909637151505834,0.0006999999999999229,-0.14262160863685436
2003-02-01,0.9492238418890464,0.8466394776995623,-0.005700000000000038,0.1355685336340975
2003-03-01,1.3391575988629834,0.9492238418890464,0.0049000000000001265,0.04958408369474565
2003-04-01,0.6717221074508117,1.3391575988629834,0.0018000000000000238,0.03920291264049647
2003-05-01,0.4141293845358662,0.6717221074508117,0.02639999999999998,-0.06990363200786653
2003-06-01,0.5479849655695368,0.4141293845358662,0.019399999999999862,-0.18659451104410474
2003-07-01,0.2704114868899543,0.5479849655695368,0.025100000000000122,-0.01929872672972044
2003-08-01,0.5371557219868484,0.2704114868899543,0.007199999999999873,0.07411952393584054
2003-09-01,0.5303556602334947,0.5371557219868484,-0.006699999999999928,0.055612135878392976
2003-10-01,0.4537164317224063,0.5303556602334947,0.00649999999999995,0.06856324956088988
2003-11-01,0.5126104880375904,0.4537164317224063,0.0012000000000000899,-0.09950244719369072
2003-12-01,0.593759112130865,0.5126104880375904,0.010599999999999943,0.04628693954071572
2004-01-01,0.1724510320063821,0.593759112130865,-0.0038000000000000256,-0.022230858059166803
2004-02-01,0.0906920919193199,0.1724510320063821,0.011200000000000099,-0.014329843112070417
2004-03-01,-0.0970444535233316,0.0906920919193199,0.006999999999999895,0.0285644830487497
2004-04-01,0.5459237248374604,-0.0970444535233316,-0.00649999999999995,-0.012068132270025789
2004-05-01,0.9399762348586638,0.5459237248374604,-0.011900000000000022,0.11240378704787402
2004-06-01,1.112038524711223,0.9399762348586638,-0.013900000000000023,0.01409736819295615
2004-07-01,0.8623966415482132,1.112038524711223,-0.02210000000000001,0.10126387906227441
2004-08-01,1.00105439294762,0.8623966415482132,0.008099999999999996,-0.09066334268133769
2004-09-01,0.8608348783639475,1.00105439294762,0.011300000000000088,0.07704149650301506
2004-10-01,1.2927295005724204,0.8608348783639475,0.004999999999999893,0.1270757986797202
2004-11-01,1.517451362303257,1.2927295005724204,-0.00039999999999995595,0.010694230986533881
2004-12-01,1.3318216970542365,1.517451362303257,-0.02059999999999995,0.11928144734433399
2005-01-01,1.204966753922876,1.3318216970542365,0.013800000000000034,-0.19511671280451193
2005-02-01,1.4102361134970651,1.204966753922876,0.01079999999999992,-0.10894996570727411
2005-03-01,1.4411711322094956,1.4102361134970651,0.0032000000000000917,0.14470417481014364
2005-04-01,1.4160056973536506,1.4411711322094956,-0.001000000000000112,0.032449294099812676
2005-05-01,1.081752752045961,1.4160056973536506,-0.0018000000000000238,0.13986721497049048
2005-06-01,0.680865284280352,1.081752752045961,-0.0022999999999999687,-0.004502022697657537
2005-07-01,1.1891595703638291,0.680865284280352,-0.006599999999999939,-0.0458756221997092
2005-08-01,0.9607167885342438,1.1891595703638291,0.01990000000000003,0.1488531884719011
2005-09-01,1.3965960755828677,0.9607167885342438,-0.00550000000000006,0.0795921909303079
2005-10-01,1.3331832274314117,1.3965960755828677,-0.0035000000000000586,0.08192130828091848
2005-11-01,0.95148727086678,1.3331832274314117,-0.00019999999999997797,-0.015761064430379612
2005-12-01,1.006391558327513,0.95148727086678,-0.0037000000000000366,-0.05302278189529108
2006-01-01,1.2908186872996552,1.006391558327513,0.0026000000000001577,-0.04118180928298365
2006-02-01,1.3835390299504755,1.2908186872996552,0.0012999999999998568,0.024895163548119825
2006-03-01,1.0288259014513912,1.3835390299504755,0.008700000000000152,0.08162862904428625
2006-04-01,1.059144708877624,1.0288259014513912,0.010999999999999899,-0.024766889462105368
2006-05-01,1.36187282461131,1.059144708877624,0.006099999999999994,0.030800250455027545
2006-06-01,1.5621153237435292,1.36187282461131,-0.018399999999999972,0.10756360355985528
2006-07-01,1.4247208742826478,1.5621153237435292,0.0035000000000000586,-0.05854486557273475
2006-08-01,1.4521365465215652,1.4247208742826478,0.008599999999999941,-0.006557496385339867
2006-09-01,0.7939376825941258,1.4521365465215652,0.008899999999999908,0.07516379030418374
2006-10-01,0.258684727035896,0.7939376825941258,0.006200000000000205,-0.010745180393903375
2006-11-01,0.4977471942328337,0.258684727035896,0.005999999999999783,-0.15679660721426192
2006-12-01,0.6209781033869932,0.4977471942328337,0.0025000000000001688,-0.05599305333821647
2007-01-01,0.1020984965667715,0.6209781033869932,0.0043999999999999595,-0.0030389490089284266
2007-02-01,-0.0113575927145448,0.1020984965667715,0.019099999999999895,0.0383175726532512
2007-03-01,0.1727312083750654,-0.0113575927145448,0.005600000000000049,-0.12220195394138234
2007-04-01,0.4538851790824694,0.1727312083750654,-0.00869999999999993,0.06670867578860928
2007-05-01,0.487923619938857,0.4538851790824694,0.024799999999999933,0.05713062031891614
2007-06-01,0.6309052678966642,0.487923619938857,0.012599999999999945,0.07870084318771209
2007-07-01,0.7202232365154382,0.6309052678966642,0.0041999999999999815,0.0036672062831328844
2007-08-01,0.4358556835820426,0.7202232365154382,0.0025000000000001688,0.06540989420628485
2007-09-01,0.7471333906709621,0.4358556835820426,-0.019000000000000128,0.0585948862621084
2007-10-01,1.264338970603407,0.7471333906709621,0.009800000000000031,-0.0876556488333815
2007-11-01,1.770059625120357,1.264338970603407,0.022900000000000142,0.0728471274716318
